Name,Role score
Abu Musab al-Zarqawi,5
Ayman al-Zawahri,5
Iwan Dharmawan,4
Abdullah Sungkar,5
Abu Dujanah,5
Adung,5
Zulkarnaen,5
Noordin Mohammed Top,5
Abu Rusdan,4
Ahmad Roichan,4
Ali Imron,4
Hambali,4
Nasir Abas,4
Ustadz Arif,4
Muchtar,4
Marwan,4
Abu Bakar Ba'asyir,4
Achmad Hasan,4
Fathurrochman,3
Irun Hidayat,3
Abdullah Sunata,5
Sardona Siliwangi,3
Toni Togar,3
Usman bin Sef,3
Jabir,3
Urwah,3
Mustofa,3
Utomo Pamungkas,3
Ali Ghufron,3
Mohamed Rais,3
Qotadah,3
Umar1,3
Umar Wayan ,3
Abu Fida,3
Azhari Husin,3
Aris Munandar,4
Asep Jaja,4
Heri Golun,2
Iqbal ,2
Iqbal Huseini,3
Joko Triharmanto,3
Mohamed Saifuddin (alias Faiz)*,3
Abdul Aziz,3
Cholily,2
Ahmad Rofiq Ridho,2
Subur Sugiarto,2
Suramto,2
Ubeid,2
Ahmad Basyir,3
Asmar Latin Sani,2
Chandra,2
Dulmatin,2
Fathurrahman al-Ghozi,2
Hari Kuncoro,2
Mohamed Ihsan,2
Son Hadi,2
Tohir,2
Umar Patek,2
Imam Samudra,2
Ajengan Masduki,5
Ahmad Sayid Maulana,4
Akram,4
Enceng Kurnia,4
Kang Jaja,4
Aceng Kurnia,4
Agus Ahmad,4
Purnama Putra,2
Salman,2
Dani Chandra,2
Pujata,1
Abdul Rauf,3
Abdul Malik,3
Harun,3
Saptono,3
Rosihin Noor,3
Sekarmadji Maridjan Kartosuwirjo,3
Abdul Jabar,1
Aditya Tri Yoga,1
Agus Dwikarna,1
Amrozi,1
Ardi Wibowo,1
Asep,1
Dwi Wdiyarto,1
Farihin,1
Hari Seti Rahmadi,1
Ismail2,1
Jauhari,1
Joko Suroso,1
Mohamed Islam,1
Reno,1
Sri Puji Mulyono,1
Wawan Suprihatin,1
Andri Octavia,1
Solahudin,1
Ustadz Anton,1
Agus Puryanto,1
Engkos Kosasih,2
Apuy,2
Hilman,1
Iis,1
Iwan Sujai,1
Muhamad Zainuri,1
Umar2,1
Wiwit,1
Faiz Bafana,4
Baharudin Soleh,4
Muzayin Abdul Wahab,4
Ustadz Hasbi,4
Mus'ab Sahidi,3
Said Sungkar,3
Munfiatun,3
Abdul Rohim,3
Muhammad bin Ahmad as-Salim,3
Joni Achmad Fauzan,2
Aip Hidayat,2
Anif Solchanudin,2
Didi,2
Misno,2
Salik Firdaus,2
Awal Purnomo,2
Hence Malewa,2
Imam Bukhori,2
Ismail1,2
Heri Hafidin,2
Heri Sigu Samboja,3
Gaos Taufik,5
Abu Roiroh,1
Ade Bahru,1
Ali,1
Dani,1
Deny Nugraha,1
Dirman,1
Gungun,1
Ilyas,1
Khumaidi,1
Mohamed Rais's Sister from Riau,1
Ustadz Zaenal,1
Jusuf Kalla,1
Soesilo Bambang Yudhoyono,1
,
,
