Name,Role score
Abu Musab al-Zarqawi,30
Ayman al-Zawahri,30
Iwan Dharmawan,20
Abdullah Sungkar,20
Abu Dujanah,20
Adung,20
Zulkarnaen,20
Noordin Mohammed Top,20
Abu Rusdan,16
Ahmad Roichan,16
Ali Imron,16
Hambali,16
Nasir Abas,16
Ustadz Arif,16
Muchtar,16
Marwan,16
Abu Bakar Ba'asyir,16
Achmad Hasan,16
Fathurrochman,15
Irun Hidayat,15
Abdullah Sunata,15
Sardona Siliwangi,12
Toni Togar,12
Usman bin Sef,12
Jabir,12
Urwah,12
Mustofa,12
Utomo Pamungkas,12
Ali Ghufron,12
Mohamed Rais,12
Qotadah,12
Umar1,12
Umar Wayan ,12
Abu Fida,12
Azhari Husin,12
Aris Munandar,12
Asep Jaja,12
Heri Golun,10
Iqbal ,10
Iqbal Huseini,9
Joko Triharmanto,9
Mohamed Saifuddin (alias Faiz)*,9
Abdul Aziz,9
Cholily,8
Ahmad Rofiq Ridho,8
Subur Sugiarto,8
Suramto,8
Ubeid,8
Ahmad Basyir,9
Asmar Latin Sani,8
Chandra,8
Dulmatin,8
Fathurrahman al-Ghozi,8
Hari Kuncoro,8
Mohamed Ihsan,8
Son Hadi,8
Tohir,8
Umar Patek,8
Imam Samudra,8
Ajengan Masduki,10
Ahmad Sayid Maulana,8
Akram,8
Enceng Kurnia,8
Kang Jaja,8
Aceng Kurnia,8
Agus Ahmad,8
Purnama Putra,6
Salman,6
Dani Chandra,6
Pujata,5
Abdul Rauf,6
Abdul Malik,6
Harun,6
Saptono,6
Rosihin Noor,6
Sekarmadji Maridjan Kartosuwirjo,6
Abdul Jabar,4
Aditya Tri Yoga,4
Agus Dwikarna,4
Amrozi,4
Ardi Wibowo,4
Asep,4
Dwi Wdiyarto,4
Farihin,4
Hari Seti Rahmadi,4
Ismail2,4
Jauhari,4
Joko Suroso,4
Mohamed Islam,4
Reno,4
Sri Puji Mulyono,4
Wawan Suprihatin,4
Andri Octavia,4
Solahudin,4
Ustadz Anton,4
Agus Puryanto,4
Engkos Kosasih,4
Apuy,4
Hilman,2
Iis,2
Iwan Sujai,2
Muhamad Zainuri,2
Umar2,2
Wiwit,2
Faiz Bafana,4
Baharudin Soleh,4
Muzayin Abdul Wahab,4
Ustadz Hasbi,4
Mus'ab Sahidi,3
Said Sungkar,3
Munfiatun,3
Abdul Rohim,3
Muhammad bin Ahmad as-Salim,3
Joni Achmad Fauzan,2
Aip Hidayat,2
Anif Solchanudin,2
Didi,2
Misno,2
Salik Firdaus,2
Awal Purnomo,2
Hence Malewa,2
Imam Bukhori,2
Ismail1,2
Heri Hafidin,2
Heri Sigu Samboja,3
Gaos Taufik,5
Abu Roiroh,1
Ade Bahru,1
Ali,1
Dani,1
Deny Nugraha,1
Dirman,1
Gungun,1
Ilyas,1
Khumaidi,1
Mohamed Rais's Sister from Riau,1
Ustadz Zaenal,1
Jusuf Kalla,1
Soesilo Bambang Yudhoyono,1
,
,
